accession	species
LC178902	Lactobacillus ixorae
LC193704	Lactobacillus metriopterae
LC436605	Lactobacillus sp.
LC436987	Lactobacillus sp.
LC436988	Lactobacillus sp.
LC436989	Lactobacillus sp.
LC436991	Lactobacillus sp.
LC436992	Lactobacillus sp.
LC436993	Lactobacillus sp.
LC436994	Lactobacillus sp.
LC436996	Lactobacillus sp.
LFEE01000018	Lactiplantibacillus herbarum
LK024187	Pediococcus damnosus
LM999917	Lactobacillus bombicola
LN898144	Lactobacillus oligofermentans
LS422989	Lactobacillus raoultii
LT631793	Lactobacillus kimchicus
LT964761	Lactobacillus timonensis
LXND01000023	Pediococcus parvulus
MF521489	Lacticaseibacillus chiayiensis
MF521490	Lacticaseibacillus chiayiensis
MF596175	Levilactobacillus bambusae
MH325207	Lactobacillus porci
MH700248	Levilactobacillus suantsaii
MH752078	Lentilactobacillus parafarraginis
MH752079	Lentilactobacillus parafarraginis
MH895364	Companilactobacillus suantsaicola
MH895367	Levilactobacillus suantsaiihabitans
MK110678	Agrilactobacillus yilanensis
MK110679	Lapidilactobacillus bayanensis
MK110688	Companilactobacillus keshanensis
MK110689	Companilactobacillus kedongensis
MK110698	Companilactobacillus baiquanensis
MK110699	Companilactobacillus jidongensis
MK110700	Companilactobacillus hulinensis
MK110701	Companilactobacillus mishanensis
MK110702	Companilactobacillus zhongbaensis
MK110706	Lacticaseibacillus jixianensis
MK110710	Lacticaseibacillus baoqingensis
MK110716	Loigolactobacillus jiayinensis
MK110721	Loigolactobacillus zhaoyuanensis
MK110725	Levilactobacillus lindianensis
MK110726	Levilactobacillus huananensis
MK110728	Levilactobacillus tangyuanensis
MK110731	Levilactobacillus fuyuanensis
MK110732	Levilactobacillus tongjiangensis
MK110734	Levilactobacillus fujinensis
MK110735	Levilactobacillus mulengensis
MSSM01000005	Lacticaseibacillus chiayiensis
NPNH01000001	Lactobacillus panisapium
NZ_AWTT01000004	Paucilactobacillus wasatchensis
NZ_AYZE01000014	Liquorilactobacillus cacaonum
NZ_AZDG01000001	Companilactobacillus tucceti
NZ_AZEG01000027	Liquorilactobacillus uvarum
NZ_AZFX01000003	Lapidilactobacillus concavus
NZ_BCAH01000019	Limosilactobacillus gorillae
PDKP01000001	Lactobacillus apis
PUFJ01000005	Secundilactobacillus silagei
PUFQ01000021	Lactobacillus pasteurii
RHNN01000025	Levilactobacillus cerevisiae
RHNP01000019	Loigolactobacillus iwatensis
RHNQ01000023	Loigolactobacillus backii
RHNR01000004	Lacticaseibacillus songhuajiangensis
RHNS01000001	Lacticaseibacillus porcinae
RHNU01000052	Companilactobacillus insicii
